model,selection_source,calibrator,roc_auc_oof,pr_auc_oof,brier_oof,profit_oof,planned_interventions_oof,executed_interventions_oof,test_analysis,roc_auc_test,pr_auc_test,brier_test,profit_test,planned_interventions_test,executed_interventions_test,final_budget_test,stopped_for_budget
CatBoost,OOF train (valido),isotonic,0.852826406132708,0.6620087163475309,0.13083315819392372,106410,3679,3679,"retrospectivo, no valido para seleccion",0.8440143119171252,0.6388484127068421,0.13623331389764642,26660,914,914,27660,False
MLP,OOF train (valido),isotonic,0.8479683021685395,0.6488883607171522,0.13356703390554986,106400,3400,3400,"retrospectivo, no valido para seleccion",0.8418985248908523,0.6079390497871416,0.13875124137258407,26550,875,875,27550,False
XGBoost,OOF train (valido),isotonic,0.846105282891106,0.6520609459798441,0.13411769631905032,106370,3843,3843,"retrospectivo, no valido para seleccion",0.841101552610504,0.6367232483618157,0.13783265188541807,26340,966,966,27340,False
Logistic Regression,OOF train (valido),isotonic,0.8483921196611721,0.6502102970896899,0.1333504711332699,106240,3246,3246,"retrospectivo, no valido para seleccion",0.8415665607481463,0.6178508568295352,0.13790217495173446,26520,798,798,27520,False
Random Forest,OOF train (valido),isotonic,0.8471103242587639,0.6483347878820357,0.13368573202076534,105750,3525,3525,"retrospectivo, no valido para seleccion",0.840260662894934,0.6407354281302662,0.13695173452691775,26180,882,882,27180,False
LightGBM,OOF train (valido),isotonic,0.8381382412664913,0.6335962404967693,0.1375244092619817,104970,3983,3983,"retrospectivo, no valido para seleccion",0.8311413366400578,0.6213802304557058,0.14030328532443043,25910,1019,1019,26910,False
